Timestamp,Q1. Have you invested in the Nepal Stock Exchange (NEPSE)?,Q2. How long have you been investing?,Q3. Age group,Q4. Gender,Q5. Education level,Q6. Occupation,Q7. Monthly income (NPR),Q8. Approximate portfolio size (NPR),Q9. How often do you trade?,Q10. Which sectors do you invest in?,Q11. Main source of investment information,Q12. I lack sufficient knowledge about fundamental/technical analysis,"Q13. I find it hard to access reliable, timely market information",Q14. Market volatility makes it difficult to plan my investments,"Q15. I have faced issues with my broker/TMS platform (technical glitches, delays)",Q16. I don't fully understand regulatory/tax procedures related to investing,"Q17: I struggle to control my emotions (fear, greed, panic) when trading","Q18: I have limited capital, which restricts my investment options",Q19: I have been misled by rumors or unreliable tips,Q20: I find IPO/rights share allotment processes confusing,Q21: I lack access to mentorship or expert guidance,Q22. What is the single biggest challenge you've faced as a new investor?,Q23. What would have helped you the most when you started investing?,"Q24. Overall, has your investment experience been profitable so far?",Q25.How would you rate your confidence in making investment decisions now vs. when you started?
8/15/2026 19:52:46,Yes,5+ years,25–34,Male,High school,Self-employed,"25,000–50,000","50,000–200,000",Daily,Insurance,Friends & family,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,"​""As a new investor, my biggest challenge has been managing emotions like FOMO (Fear of Missing Out) and market volatility. Learning not to panic-sell during market dips and adhering to a disciplined strategy instead of reacting to daily price swings was a big learning curve.""","Better Financial Education: ""Having a solid understanding of fundamental and technical analysis before putting in real money.""",Yes,Higher
8/15/2026 21:02:43,Yes,Less than 1 year,25–34,Male,High school,Self-employed,"25,000–50,000","Below 50,000",Rarely,Banking,Financial news,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,nothing ,nothing ,Maybe,Much lower
8/15/2026 22:53:52,Yes,Less than 1 year,45–54,Female,Other,Other,Prefer not to say,"Below 50,000",Monthly,Insurance,ShareSansar/MeroLagani,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,Maybe,Same
8/16/2026 8:59:37,No,Less than 1 year,18–24,Male,Bachelor's,Business owner,"25,000–50,000","Below 50,000",Rarely,Hydropower,Social media,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,,Maybe,Higher
8/16/2026 9:09:52,Yes,Less than 1 year,18–24,Male,High school,Salaried employee,"25,000–50,000","Below 50,000",A few times a year,Hydropower,Friends & family,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Loss,Social media ,No,Same
8/16/2026 10:05:34,No,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2026 10:05:41,Yes,Less than 1 year,18–24,Male,Bachelor's,Student,Prefer not to say,"Below 50,000",Rarely,Manufacturing,Social media,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rtujnbhjkk,Tyuijjjbnjoi. ,Yes,Same
8/16/2026 10:13:14,Yes,Less than 1 year,18–24,Male,High school,Self-employed,Prefer not to say,"Below 50,000",Rarely,Other,Friends & family,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,,,No,Same
8/16/2026 11:23:15,No,Less than 1 year,18–24,Male,High school,Salaried employee,"Below 25,000","Below 50,000",Rarely,Other,Friends & family,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,Same
8/16/2026 11:36:05,No,Less than 1 year,18–24,Male,High school,Salaried employee,"Above 100,000","Below 50,000",Rarely,Hydropower,Friends & family,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not Understanding where to invest and managing risk without making emotional decisions,Someone guides ,No,Same
8/16/2026 12:08:22,Yes,Less than 1 year,25–34,Male,High school,Other,"25,000–50,000","Below 50,000",Monthly,Other,Social media,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,Maybe,Same
8/16/2026 13:06:16,Yes,1–3 years,25–34,Male,Bachelor's,Self-employed,"50,000–100,000","50,000–200,000",Daily,Hotels,Social media,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,Lower ,Maybe,Lower
8/16/2026 13:06:42,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2026 13:12:18,Yes,Less than 1 year,18–24,Male,High school,Other,Prefer not to say,"50,000–200,000",Rarely,Hydropower,Social media,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,As a new visitor its very difficult ,Don’t know ,Maybe,Higher
8/16/2026 13:28:16,No,Less than 1 year,18–24,Female,Bachelor's,Student,Prefer not to say,"Below 50,000",Rarely,Other,Financial news,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Nothing ,Nothing ,No,Much lower
8/16/2026 14:35:59,No,Less than 1 year,18–24,Male,Bachelor's,Student,Prefer not to say,"Below 50,000",Rarely,Insurance,Friends & family,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Neutral,,,Maybe,Same
8/16/2026 14:52:48,No,,18–24,Male,Other,Student,Prefer not to say,"Below 50,000",Daily,Other,Other,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Agree,,,Maybe,Much higher
8/16/2026 14:53:04,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2026 15:38:26,Yes,5+ years,18–24,Male,High school,Salaried employee,"Above 100,000","Below 50,000",Monthly,Banking,Friends & family,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Little knowledge ,Guide from bigger investors ,Yes,Higher
8/17/2026 7:51:20,No,,18–24,Male,High school,Student,Prefer not to say,,,,ShareSansar/MeroLagani,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,,,,
8/17/2026 7:51:31,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2026 7:51:34,,,,,,,,,,,,,,,,,,,,,,,,,
